"Subject Name,",Strand Name
"General Mathematics,",GAS_12
"Earth Science,",GAS_12
"Physical Education,",GAS_12
"Empowerment Technologies,",GAS_12
"Practical Research 2,",GAS_12
"English for Academic,",GAS_12
